Location,Longitude,Latitude
5105 SOUTH INDIAN DRIVE SITE,-80.2951575902425,27.379811347868536
JACKSONVILLE ASH SITE,-81.67023046900977,30.344153657011365
GOODWILL MERCURY RELEASE,-80.67173876394027,28.13907363389714
US NAVAL TECH TRNG CORRY STATION,-87.29189970372637,30.40672836603406
PARK CIRCLE MERCURY SPILL,-82.44652984815025,28.01725349690638
LEESBURG THERMOMETER SITE,-81.88473158102671,28.791673893199015
SOUTHERN WOOD PIEDMONT- BUNNEL FACILITY,-81.26833295381523,29.48305960033317
W. PALM BEACH GASIFICATION PLANT,-80.05067012018131,26.71523370717425
BIG CYPRESS NATIONAL PRESERVE,-81.32138986831359,25.901415818268088
BRUNSWICK CORP DBA TECHNETICS DIVISION,-81.29195978936663,29.061163237344218
ESCAMBIA WOOD - PENSACOLA,-87.2317043114691,30.45530095717071
ATLANTIC BLVD ESTATES,-81.52562034867208,30.324283615842177
SYDNEY MINE SLUDGE PONDS,-82.20916343519386,27.929168888280604
GP PLASTICS CORP.,-80.32457160804545,25.85442425421149
UNITED CHEMICALS GULF STATES CHEM DIV,-83.9995469572813,30.478824740006548
"ITT-THOMPSON INDUSTRIES, INC",-83.40504728643745,30.47259806944633
VISION - EASE,-80.15277111986356,26.083603761892668
SOUTHERN WOOD PIEDMONT CO,-81.97195548103198,30.31609621570219
AIR PRODUCTS & CHEMICALS INC,-87.04333681617666,30.633333337784215
"MILLER INDUSTRIES, INC.",-80.22077145752777,25.922135032761265
BROWN BOVERI ELECTRIC INC,-81.33197852497226,28.815311309757277
ACME SPONGE & CHAMOIS CO INC,-82.74253883357852,28.15216975213328
STAUFFER CHEMICAL CO. (TARPON SPRINGS),-82.77569483549405,28.166669681120275
FLORIDA PETROLEUM REPROCESSORS,-80.21555706966195,26.081947969378433
IMC ACID SPILL,-82.01638578581696,27.851114767594172
CAMP GORDON JOHNSTON,-84.59940177269863,29.882403150542846
SAUFLEY C&D LANDFILL FIRE,-87.33240438260897,30.46490242734703
OMNI-VEST,-87.26000431860561,30.45333420856196
WESTINGHOUSE TORPEDO FACTORY,-80.28256065653844,26.280753945681205
WINGATE ROAD MUNICIPAL INCINERATOR DUMP,-80.18470096862923,26.144403820148582
GAO 108 - 3RD AVENUE,-82.42166942989161,27.957383426446313
CHEVRON CHEMICAL CO. (ORTHO DIVISION),-81.40888807400262,28.578892469226968
US STEEL POLYESTER UNIT,-81.83499662966565,27.896670002081134
BARKER CHEMICAL SITE,-82.67166834549425,29.03167120007526
"JACKSONVILLE SHIPYARD INC., LANDFILL",-81.74015071007793,30.369609652696283
UNION CAMP INC,-81.75000054476584,30.33472566602944
DANTZLER LUMBER & EXPORT CO,-80.14348083109638,26.2306536383089
MAT CHEMICAL,-80.34225457497482,25.861936285156123
SKRYPEK DUMP,-82.3790890400656,27.97218317190762
STANDARD AUTO BUMPER CORP.,-80.28972265939181,25.844448187176724
WEEKLY LUMBER,-82.40941031224068,27.959112360293336
ANACONDA ALUMINUM CO./MILGO ELECTRONICS CORP.,-80.25653268251043,25.843065122899684
A & E CUSTOMS INC.,-80.36360930434931,27.45583645488639
JONES RESIDENCE MERCURY INCIDENT,-81.96151605686072,28.00362330068071
FOSGATE ROAD DUMP,-81.69017984099398,28.598903457392808
NEW KROME CLEANERS,-80.47755802290283,25.473892818781003
OLD TOWN MERCURY SPILL,-82.96250171137709,29.766669310825897
LEXINGTON AVENUE  MERCURY,-87.26007378520003,30.556910601077632
FORMER INDUSTRIAL CHEMICAL & SUPPLY,-82.47670996880005,27.95455369878999
AAMCO,-81.45539199025762,28.553184504083585
DUTTONS GOVERNMENT SURPLUS,-81.5903882672473,30.22880087291652
CHEMICAL PACKAGING,-80.2200507345773,26.243593470036956
NATION BATTERY (OLD SITE),-80.23500182752373,25.795004042801473
CSXT MULBERRY,-81.97499652513298,27.89500361316645
GOLDEN TOUCH DRYCLEANERS,-80.20525336736223,25.956535989106932
OSCEOLA FOREST SITE #5,-82.6366689969516,30.18833608466837
HIGH POINT COUNTRY CLUB,-81.79450345681171,26.18654016023793
GLENN STEVENSON RESIDENCE,-82.64266994935468,27.80847361452506
MADISON COUNTY SANITARY LANDFILL,-83.39375230529534,30.501114074054822
AGRICULTURAL INSECTICIDE COMPANY,-80.66711187946689,26.682243489835177
PEOPLE'S GAS/FLORIDA SUNCOAST DOME,-82.64663987608301,27.769393639414915
SANFORD DRY CLEANERS,-81.26560521844635,28.811220209272104
FLORIDA SMELTING COMPANY-BUFFALO AVE,-81.6410004272071,30.376513672340955
